iter	Passed	Remaining
412	3425	4868
413	3432	4858
414	3441	4851
415	3450	4843
416	3458	4835
417	3467	4828
418	3475	4819
419	3483	4811
420	3491	4801
421	3500	4794
422	3507	4784
423	3515	4775
424	3523	4766
425	3530	4757
426	3539	4749
427	3548	4742
428	3557	4734
429	3565	4725
430	3572	4716
431	3580	4707
432	3587	4697
433	3594	4687
434	3601	4678
435	3611	4671
436	3619	4663
437	3628	4655
438	3635	4645
439	3643	4637
440	3652	4629
441	3659	4619
442	3667	4610
443	3675	4602
444	3681	4591
445	3689	4582
446	3698	4575
447	3704	4564
448	3713	4556
449	3720	4546
450	3729	4539
451	3738	4532
452	3744	4521
453	3752	4512
454	3761	4505
455	3770	4498
456	3777	4488
457	3784	4478
458	3790	4467
459	3799	4460
460	3805	4449
461	3813	4441
462	3821	4432
463	3828	4422
464	3834	4411
465	3841	4402
466	3850	4394
467	3857	4385
468	3865	4375
469	3872	4367
470	3880	4358
471	3888	4349
472	3896	4341
473	3904	4332
474	3912	4323
475	3919	4315
476	3927	4306
477	3936	4298
478	3941	4287
479	3950	4279
480	3955	4268
481	3963	4259
482	3970	4249
483	3976	4239
484	3981	4228
485	3991	4221
486	3999	4213
487	4008	4206
488	4017	4198
489	4026	4190
490	4035	4183
491	4043	4175
492	4053	4169
493	4060	4159
494	4065	4147
495	4074	4139
496	4082	4132
497	4091	4124
498	4098	4115
499	4106	4106
500	4114	4097
501	4122	4089
502	4130	4081
503	4137	4072
504	4145	4063
505	4154	4055
506	4162	4047
507	4170	4039
508	4176	4029
509	4184	4020
510	4191	4010
511	4198	4002
512	4207	3994
513	4213	3984
514	4222	3976
515	4230	3968
516	4239	3961
517	4249	3954
518	4257	3945
519	4265	3937
520	4273	3929
521	4282	3921
522	4288	3911
523	4297	3903
524	4305	3895
525	4315	3888
526	4324	3881
527	4331	3871
528	4340	3864
529	4348	3856
530	4356	3848
531	4366	3840
532	4374	3832
533	4381	3823
534	4390	3815
535	4395	3804
536	4403	3796
537	4410	3787
538	4417	3778
539	4424	3768
540	4432	3760
541	4442	3753
542	4447	3743
543	4456	3735
544	4464	3727
545	4473	3719
546	4479	3709
547	4487	3701
548	4492	3690
549	4500	3682
550	4508	3674
551	4515	3665
552	4525	3657
553	4533	3649
554	4543	3642
555	4550	3633
556	4557	3625
557	4565	3616
558	4574	3608
559	4582	3600
560	4590	3591
561	4598	3584
562	4607	3576
563	4615	3568
564	4623	3559
565	4629	3549
566	4635	3540
567	4643	3532
568	4653	3524
569	4661	3516
570	4669	3508
571	4677	3500
572	4683	3490
573	4693	3483
574	4703	3476
575	4711	3468
576	4720	3460
577	4726	3450
578	4735	3443
579	4743	3434
580	4749	3425
581	4758	3417
582	4768	3410
583	4779	3404
584	4788	3396
585	4797	3389
586	4805	3381
587	4814	3373
588	4820	3363
589	4831	3357
590	4840	3349
591	4849	3342
592	4858	3334
593	4864	3324
594	4872	3316
595	4880	3308
596	4889	3300
597	4899	3293
598	4908	3285
599	4914	3276
600	4919	3265
601	4924	3255
602	4929	3245
603	4935	3235
604	4943	3227
605	4948	3217
606	4957	3209
607	4964	3200
608	4973	3193
609	4980	3184
610	4988	3176
611	4994	3166
612	4999	3156
613	5008	3148
614	5018	3141
615	5027	3134
616	5035	3125
617	5041	3116
618	5049	3108
619	5058	3100
620	5068	3093
621	5075	3084
622	5084	3076
623	5092	3068
624	5098	3059
625	5107	3051
626	5116	3043
627	5125	3036
628	5134	3028
629	5143	3020
630	5149	3011
631	5158	3003
632	5164	2994
633	5173	2986
634	5178	2976
635	5187	2968
636	5194	2960
637	5202	2951
638	5209	2943
639	5218	2935
640	5224	2925
641	5231	2917
642	5239	2909
643	5247	2901
644	5256	2893
645	5262	2883
646	5269	2875
647	5276	2866
648	5285	2858
649	5293	2850
650	5300	2841
651	5307	2832
652	5315	2824
653	5324	2816
654	5332	2808
655	5341	2800
656	5349	2793
657	5355	2783
658	5365	2776
659	5375	2769
660	5383	2760
661	5392	2753
662	5400	2745
663	5410	2737
664	5419	2730
665	5425	2720
666	5430	2711
667	5437	2702
668	5445	2694
669	5453	2686
670	5462	2678
671	5472	2670
672	5479	2662
673	5486	2653
674	5495	2645
675	5500	2636
676	5509	2628
677	5516	2619
678	5521	2610
679	5530	2602
680	5539	2594
681	5548	2587
682	5557	2579
683	5566	2571
684	5571	2562
685	5581	2554
686	5589	2546
687	5598	2538
688	5605	2530
689	5614	2522
690	5619	2512
691	5626	2504
692	5636	2497
693	5646	2489
694	5656	2482
695	5665	2474
696	5670	2465
697	5679	2457
698	5688	2449
699	5697	2441
700	5707	2434
701	5715	2426
702	5725	2418
703	5734	2410
704	5742	2403
705	5749	2394
706	5758	2386
707	5767	2378
708	5775	2370
709	5783	2362
710	5791	2354
711	5797	2345
712	5806	2337
713	5817	2330
714	5827	2322
715	5834	2314
716	5841	2305
717	5849	2297
718	5858	2289
719	5869	2282
720	5878	2274
721	5887	2266
722	5892	2257
723	5900	2249
724	5908	2241
725	5916	2233
726	5923	2224
727	5931	2216
728	5939	2208
729	5949	2200
730	5956	2192
731	5965	2184
732	5973	2175
733	5981	2167
734	5990	2159
735	5998	2151
736	6008	2144
737	6018	2136
738	6025	2128
739	6035	2120
740	6044	2112
741	6051	2104
742	6060	2096
743	6067	2087
744	6072	2078
745	6082	2071
746	6088	2062
747	6096	2053
748	6106	2046
749	6111	2037
750	6120	2029
751	6129	2021
752	6138	2013
753	6146	2005
754	6153	1996
755	6160	1988
