iter	RMSE
293	3307.675733
294	3307.38719
295	3307.381468
296	3306.818892
297	3303.912261
298	3301.646544
299	3299.882908
300	3299.284996
301	3298.958352
302	3297.685934
303	3296.983257
304	3296.161014
305	3295.510577
306	3293.466508
307	3291.808693
308	3291.245553
309	3289.906743
310	3288.539043
311	3283.563902
312	3278.659326
313	3278.05431
314	3277.98875
315	3276.68217
316	3275.904475
317	3274.589285
318	3274.371925
319	3272.370213
320	3271.042003
321	3269.856327
322	3269.488828
323	3268.903066
324	3268.704095
325	3268.689914
326	3267.80909
327	3267.787048
328	3267.763219
329	3267.499474
330	3267.06256
331	3266.350721
332	3265.708161
333	3264.640831
334	3263.474652
335	3262.038257
336	3261.918777
337	3261.324017
338	3260.743257
339	3258.862779
340	3258.357873
341	3258.339031
342	3257.238765
343	3255.201405
344	3255.118449
345	3254.441498
346	3254.346541
347	3253.208742
348	3251.258854
349	3251.227987
350	3249.244762
351	3248.618299
352	3247.973961
353	3245.265971
354	3245.228856
355	3242.867632
356	3240.984366
357	3240.644238
358	3239.729297
359	3238.745407
360	3238.700443
361	3238.166526
362	3237.355063
363	3236.942424
364	3235.201256
365	3235.183649
366	3233.850715
367	3233.788706
368	3231.943219
369	3231.366557
370	3230.220561
371	3229.606747
372	3228.510957
373	3228.167345
374	3227.833118
375	3227.140432
376	3226.797336
377	3224.12075
378	3219.856322
379	3218.742007
380	3217.830699
381	3217.609348
382	3217.552808
383	3215.508541
384	3213.035134
385	3213.027094
386	3212.706535
387	3212.688159
388	3212.367288
389	3211.51735
390	3211.333099
391	3209.777363
392	3208.966909
393	3208.825678
394	3208.495842
395	3207.929027
396	3207.432573
397	3206.418237
398	3206.121669
399	3205.760325
400	3205.297523
401	3204.913955
402	3204.73429
403	3204.590556
404	3204.216686
405	3203.089335
406	3202.130547
407	3201.103484
408	3200.1973
409	3199.784378
410	3198.736117
411	3197.304672
412	3194.942513
413	3194.927561
414	3192.466415
415	3192.156136
416	3190.965342
417	3189.435134
418	3189.272366
419	3187.406418
420	3187.20859
421	3186.708591
422	3186.458725
423	3185.58072
424	3185.105263
425	3184.567639
426	3183.881705
427	3183.00784
428	3182.560033
429	3182.025862
430	3179.697491
431	3179.457342
432	3178.95375
433	3178.584111
434	3178.40812
435	3177.19149
436	3175.440683
437	3174.923319
438	3174.352479
439	3173.134397
440	3170.996582
441	3170.634762
442	3170.184424
443	3169.412541
444	3169.371738
445	3169.076624
446	3166.290252
447	3166.263734
448	3165.838669
449	3165.83434
450	3164.807421
451	3162.922193
452	3162.888297
453	3162.611258
454	3160.390957
455	3159.641142
456	3158.265338
457	3157.501968
458	3157.498261
459	3157.156082
460	3156.437706
461	3155.834454
462	3155.097511
463	3155.081567
464	3153.001613
465	3152.288457
466	3150.778534
467	3150.544609
468	3148.669943
469	3148.378174
470	3147.676188
471	3146.950544
472	3145.40055
473	3144.674351
474	3144.190456
475	3143.728531
476	3141.256678
477	3140.487567
478	3140.038645
479	3138.143419
480	3138.133173
481	3136.559133
482	3136.130049
483	3135.433443
484	3135.424981
485	3134.61909
486	3134.399368
487	3134.361295
488	3134.042192
489	3133.364684
490	3132.180314
491	3131.642758
492	3130.945033
493	3130.930848
494	3130.923723
495	3130.255546
496	3129.181459
497	3127.852471
498	3127.611373
499	3127.361029
500	3126.213072
501	3125.664709
502	3125.368008
503	3125.071493
504	3124.178999
505	3123.549039
506	3122.544628
507	3122.019832
508	3122.001506
509	3121.71841
510	3121.075641
511	3120.692266
512	3118.716617
513	3118.171763
514	3117.366207
515	3117.166189
516	3116.148356
517	3115.319885
518	3115.291156
519	3113.865073
520	3113.097251
521	3112.720239
522	3112.341916
523	3112.232415
524	3109.884573
525	3108.818266
526	3108.362238
527	3108.035672
528	3105.567202
529	3103.655361
530	3102.321016
531	3100.473085
532	3099.959353
533	3099.790375
534	3097.649698
535	3097.159098
536	3097.145619
537	3097.031264
538	3096.781464
539	3096.663016
540	3096.37321
541	3095.37831
542	3093.335257
543	3093.178147
544	3091.951589
545	3091.017195
546	3088.854408
547	3087.723805
548	3085.867279
549	3085.157224
550	3084.725104
551	3084.556017
552	3084.546952
553	3084.098605
554	3083.193056
555	3082.90426
556	3081.512681
557	3081.501833
558	3079.756085
559	3079.120995
560	3078.896021
561	3078.491979
562	3077.156191
563	3076.664558
564	3075.62501
565	3073.860376
566	3073.852159
567	3072.501011
568	3071.785649
569	3071.665791
570	3071.230064
571	3070.302389
572	3070.145257
573	3069.31029
574	3069.069374
575	3068.741249
576	3068.3562
577	3066.669318
578	3066.394217
579	3066.382479
580	3064.77124
581	3064.410784
582	3064.028462
583	3063.296082
584	3063.146231
585	3062.937448
586	3061.520806
587	3061.00449
588	3059.544637
589	3058.838371
590	3058.3453
591	3058.14122
592	3056.746288
593	3056.607949
594	3056.503933
595	3056.381159
596	3056.169216
597	3055.756736
598	3055.367402
599	3055.129742
600	3053.796942
601	3053.667628
602	3052.394146
603	3051.177215
604	3050.54578
605	3050.356191
606	3050.354376
607	3049.814067
608	3049.130604
609	3048.950848
610	3047.21502
611	3046.050694
612	3045.684492
613	3045.214544
614	3043.751014
615	3043.549039
616	3043.539305
617	3043.36847
618	3042.81097
619	3042.649689
620	3042.404372
621	3042.308378
622	3042.282513
623	3041.856932
624	3041.792366
625	3040.594968
626	3040.327909
627	3040.042193
628	3039.258706
629	3038.615669
630	3038.356648
631	3037.109186
632	3036.675024
633	3036.606214
634	3036.55066
635	3036.165696
636	3036.116088
637	3033.511439
638	3033.40252
639	3033.140828
640	3033.092784
641	3032.849972
642	3032.301718
643	3032.052722
644	3031.022117
645	3030.851221
646	3030.613137
647	3030.609955
648	3030.204356
649	3029.510253
650	3029.2365
651	3029.006902
652	3028.577598
653	3028.283257
654	3027.071993
655	3026.909214
656	3026.682054
657	3026.680445
658	3026.56701
659	3025.158874
660	3025.071515
661	3024.539644
662	3023.895476
663	3023.271605
664	3023.192414
665	3023.182751
666	3021.845835
667	3021.844215
668	3021.716402
669	3021.065821
670	3020.60181
671	3020.446923
672	3020.288
673	3020.148351
674	3019.035722
675	3018.835857
676	3018.026773
677	3017.815749
678	3017.252671
679	3017.016943
680	3016.521942
681	3014.847762
682	3014.225567
683	3013.178439
684	3012.177475
685	3011.100082
686	3010.297837
687	3009.739431
688	3009.122916
689	3009.120347
690	3008.162489
691	3008.089499
692	3007.677466
693	3007.54797
694	3006.631554
695	3004.640365
696	3004.572427
697	3004.328876
698	3003.510208
699	3001.893506
700	3000.653688
701	3000.528339
702	3000.32988
703	2998.515258
704	2998.284125
705	2998.281941
706	2997.635222
707	2997.50272
708	2997.270965
709	2996.179531
710	2995.542913
711	2995.314937
712	2994.960695
713	2994.73568
714	2993.78994
715	2993.474251
716	2993.233348
717	2992.445947
718	2991.837385
719	2991.222318
720	2990.9439
721	2990.611343
722	2990.552469
723	2990.245644
724	2989.998047
725	2988.907063
726	2988.653355
727	2988.072081
728	2987.730935
729	2987.64717
730	2987.592345
731	2986.2982
732	2985.84024
733	2985.560189
734	2985.382888
735	2985.324131
736	2985.2591
737	2985.108524
738	2984.99049
739	2984.728441
740	2984.643399
741	2984.491317
742	2983.255645
743	2983.249854
744	2983.19868
745	2981.79122
746	2981.743429
747	2981.593739
748	2980.610426
749	2980.477896
750	2980.278765
751	2979.569902
752	2979.380335
753	2979.170066
754	2978.764113
755	2977.541916
756	2977.4536
757	2977.015506
758	2976.664479
759	2976.460171
760	2976.321675
761	2976.179787
762	2975.149044
763	2973.845334
764	2972.997512
765	2972.59289
766	2972.478969
767	2971.730486
768	2968.648991
769	2968.26922
770	2967.902393
771	2967.7511
772	2967.746654
773	2967.558613
774	2967.456798
775	2967.060464
776	2964.882737
777	2964.866338
778	2964.17216
779	2963.66257
780	2963.66077
781	2963.428723
782	2962.02996
783	2961.983218
784	2961.938064
785	2961.872643
786	2960.755219
787	2959.16365
788	2958.583714
789	2958.393123
790	2957.858763
791	2956.662762
792	2956.632895
793	2956.083229
794	2956.058746
795	2954.868929
796	2954.374257
797	2954.057725
798	2953.975134
799	2953.796549
800	2953.616487
801	2952.967896
802	2952.525041
803	2952.356985
804	2952.049087
805	2951.715759
806	2950.81448
807	2950.771641
808	2950.53518
809	2949.892746
810	2949.489652
811	2949.319405
812	2949.316475
813	2949.090125
814	2948.172736
815	2947.805697
816	2946.170297
817	2945.773307
818	2945.61085
819	2945.137696
820	2944.889494
821	2944.693259
822	2943.80971
823	2942.978415
824	2942.939071
825	2942.777782
826	2942.352331
827	2942.194624
828	2942.119167
829	2941.975489
830	2941.896156
831	2941.65073
832	2940.084755
833	2939.249657
834	2938.729578
835	2938.171767
836	2936.981813
837	2936.148534
838	2936.018452
839	2935.980968
840	2934.896908
841	2934.454302
842	2934.402569
843	2933.805766
844	2933.70155
845	2933.363837
846	2933.026496
847	2932.457565
848	2931.816326
849	2931.663083
850	2931.51631
851	2931.37645
852	2931.145059
853	2931.031993
854	2930.452621
855	2930.352585
856	2927.878657
857	2927.846352
858	2927.627698
859	2927.595535
860	2927.068071
861	2926.625109
862	2926.400539
863	2925.81664
864	2925.152532
865	2924.339563
866	2923.830367
867	2923.562305
868	2923.206354
869	2921.204563
870	2920.855536
871	2920.714984
872	2920.322341
873	2919.936026
874	2919.223155
875	2918.008263
876	2917.073743
877	2916.938195
878	2916.045831
879	2915.910208
880	2915.495279
881	2915.338936
882	2914.7863
883	2914.047733
884	2913.645885
885	2913.272197
886	2912.991444
887	2912.742177
888	2912.47551
889	2911.622293
890	2910.618439
891	2909.80212
892	2909.786604
893	2909.015159
894	2907.850703
895	2907.217783
896	2905.813838
897	2905.309967
898	2904.255685
899	2903.966859
900	2903.063161
901	2902.380618
902	2902.205637
903	2901.946798
904	2901.451209
905	2901.111833
906	2900.869125
907	2900.370591
908	2899.792459
909	2899.664108
910	2899.662367
911	2899.463056
912	2899.201587
913	2899.080374
914	2898.52822
915	2897.909179
916	2897.049314
917	2896.905494
918	2895.592322
919	2894.890117
920	2894.769172
921	2894.478561
922	2893.774942
923	2893.496677
924	2893.494959
925	2893.225921
926	2892.920708
927	2892.576137
928	2892.3257
929	2891.067437
930	2890.706375
931	2890.063804
932	2889.875551
933	2889.712511
934	2888.929234
935	2888.652408
936	2888.465692
937	2888.004055
938	2887.515078
939	2887.009303
940	2886.44723
941	2885.241115
942	2885.186222
943	2883.475893
944	2882.725604
945	2882.66836
946	2882.456542
947	2882.175147
948	2882.130967
949	2881.53445
950	2880.990343
951	2880.939779
952	2880.649516
953	2880.217076
954	2879.897578
955	2879.808006
956	2879.077067
957	2878.975605
958	2878.628415
959	2878.560475
960	2878.559369
961	2877.98393
962	2877.666374
963	2877.5508
964	2877.2664
965	2876.388551
966	2876.282343
967	2876.123344
968	2875.948138
969	2875.876466
970	2875.65319
971	2875.539144
972	2874.908267
973	2874.500821
974	2874.088616
975	2873.952806
976	2873.733277
977	2873.674806
978	2872.117235
979	2871.442992
980	2871.441034
981	2871.333393
982	2871.190875
983	2870.861052
984	2870.250487
985	2870.184016
986	2870.054231
987	2869.462507
988	2868.935464
989	2868.044324
990	2867.662299
991	2867.414636
992	2867.412425
993	2866.69237
994	2866.567706
995	2866.460468
996	2866.038341
997	2865.9559
998	2865.914032
999	2865.574962
